Place,Runner,Time,Age,Gender,Country
1,Blanchard Mathieu,23:25:02,37,M,FRA
2,TSCHUMI Jean-Philippe,24:08:32,42,M,SUI
3,Dhiman Ben,24:42:53,33,M,USA
4,KERN Martin,26:33:42,36,M,FRA
4,PAZOS Diego,26:33:42,40,M,SUI
6,ESMIOL Vincent,27:05:00,28,M,FRA
7,SAUTRON Judicael,27:23:37,42,M,FRA
8,coinus Robin,27:58:09,36,M,FRA
9,THEVENARD Jean Marie,28:03:58,34,M,FRA
10,PIPITONE Anthony,28:49:16,39,M,FRA
11,NION Jeremy,29:05:49,37,M,FRA
12,CAZAJOUS Maxime,29:22:41,44,M,FRA
13,ROVERA Rene,29:39:38,56,M,FRA
14,CAMUS Sylvain,29:39:39,42,M,FRA
15,Jacoutot Aurelien,29:46:22,41,M,FRA
16,FILAIN Gregory,30:00:23,35,M,FRA
17,Postaire Benjamin,30:06:50,40,M,FRA
18,BUET Sebastien,30:17:36,39,M,FRA
19,TOULCANON Alexandre,30:34:03,36,M,FRA
20,Samzun Mael,30:42:53,32,M,FRA
21,VETTIER JULIEN,30:57:00,36,M,FRA
22,BERAUD Alexandre,31:13:28,34,M,FRA
23,Deffrenne Clément,31:26:11,25,M,FRA
24,Guignard Paul Ely,31:32:48,36,M,FRA
25,BOHARD Manon,31:49:55,33,F,FRA
26,CLAVERY Erik,31:50:16,44,M,FRA
27,CASTILLON Maxime,31:57:47,35,M,FRA
28,ROUANET Renaud,32:01:51,46,M,FRA
29,GARRY Neal,32:30:28,28,M,FRA
30,Mamy Willy,32:34:00,39,M,FRA
31,PIERRE Emmanuel,32:38:04,33,M,FRA
32,LE STUM Thomas,32:44:56,34,M,FRA
33,Renda Mathieu,32:45:10,37,M,FRA
34,Lebel Sylvain,32:52:23,40,M,FRA
35,soulans Sebastien,32:55:26,40,M,FRA
36,NAKACHE Maryline,33:01:19,40,F,FRA
37,NALET Patrice,33:01:22,46,M,FRA
38,Allaz Simon,33:12:30,42,M,SUI
39,DELAHAYE VICTOR,33:13:03,30,M,FRA
40,PINON Michael,33:17:20,36,M,FRA
41,CHAUVIN Anthony,33:18:38,41,M,FRA
42,Allou Nicolas,33:22:02,47,M,FRA
43,Boulard François,33:27:20,33,M,FRA
44,OLIVIER Florian,33:27:51,43,M,FRA
45,GOMES Arnaud,33:28:08,39,M,FRA
46,MAILLOT David,33:28:46,38,M,FRA
47,clement Paul,33:38:50,36,M,FRA
48,COUFOURIER Jonathan,33:43:17,41,M,FRA
49,Grardel Pauline,33:46:15,38,F,FRA
50,BELLEC Ronan,33:47:17,45,M,FRA
51,Bellec Romain,33:50:40,34,M,FRA
52,SORIANO Theo,33:56:44,29,M,FRA
53,GUILLOME EMMANUEL,34:05:50,44,M,FRA
53,GUILLOME Olivier,34:05:50,44,M,FRA
55,Poissonneau Laurent,34:06:52,56,M,FRA
56,ESCALLE Laurent,34:06:56,34,M,FRA
57,CHATELAIN Sebastien,34:07:00,44,M,FRA
58,VAN MELLE Matthieu,34:08:45,43,M,FRA
59,LAVING Jean Marc,34:14:18,45,M,FRA
60,EYCHENNE Stephane,34:18:35,46,M,FRA
61,NICOL JONATHAN,34:21:27,40,M,FRA
62,CHAMAND Mickael,34:23:35,46,M,FRA
63,GIRAUD Sebastien,34:52:37,43,M,FRA
64,Peters Nicolas,34:55:38,42,M,BEL
65,HUBERT Constantin,34:59:20,32,M,FRA
66,GOGUET Jeremy,34:59:42,36,M,FRA
66,PESENTI Thibault,34:59:42,43,M,FRA
68,Boulouys Rémi,34:59:46,31,M,FRA
69,Manaud Ludovic,35:00:16,46,M,FRA
70,Berland Simon,35:01:43,33,M,FRA
71,DUFOURG Benjamin,35:07:59,44,M,FRA
72,DELIZEE Alexandre,35:16:54,29,M,FRA
73,bohelay pierre-marie,35:18:26,33,M,FRA
74,COQUARD Aline,35:21:42,37,F,FRA
75,NICOLE Felix,35:21:58,25,M,FRA
76,Pierre Benjamin,35:23:53,29,M,BEL
77,MERCIER Lionel,35:24:54,37,M,FRA
78,MACE PIERRE,35:25:10,29,M,FRA
79,FONTENAY Clement,35:25:50,32,M,FRA
80,Anicelli Damien,35:26:26,37,M,FRA
81,OLIVAR CALVO Julien,35:30:38,38,M,FRA
82,GAUDINAUD Thomas,35:30:40,34,M,FRA
83,BERTHOUMIEU Benjamin,35:32:47,26,M,FRA
84,ARAGON Tom,35:34:31,30,M,FRA
85,ARAGON Dan,35:34:32,30,M,FRA
86,Poggi Fabien,35:37:24,36,M,FRA
87,CICERO Benoit,35:37:27,40,M,FRA
88,LANNEAU Julien,35:37:38,42,M,FRA
89,GOHARZADEH Andrea,35:40:01,31,M,FRA
90,THIERY DE REMBAU Victor,35:41:27,29,M,FRA
91,Lambert Jordan,35:42:14,39,M,FRA
92,PAYET Tremeur,35:47:11,41,M,FRA
93,Jourdain Patrick,35:48:49,56,M,FRA
94,CROS Jean Pierre,35:51:42,51,M,FRA
95,CAMISULLIS Simon,35:52:08,29,M,FRA
96,GUITON Jean Claude,35:56:34,57,M,FRA
97,BARRAU Fabien,35:56:50,39,M,FRA
98,XIE WENFEI,35:59:25,42,F,CHN
99,Anonymous,36:04:52,-,-,FRA
100,Tallot Loic,36:06:59,35,M,FRA
101,DELECOUR Maxime,36:08:42,31,M,FRA
102,LABOYRIE Thomas,36:23:36,45,M,FRA
103,MONTECOT Antoine,36:24:14,49,M,FRA
104,Point Pierre,36:24:35,36,M,FRA
105,FACQ Gregory,36:25:36,48,M,FRA
106,CODOUREY Lionel,36:39:32,45,M,SUI
107,Ghanty Irchaade,36:39:47,34,M,FRA
108,WOODMAN Nicolas,36:41:30,38,M,FRA
109,CUSSOT Sylvaine,36:43:24,42,F,FRA
110,CLERC Guilhem,36:48:24,37,M,FRA
111,WRIGHT ADAM,36:48:26,35,M,USA
112,Riffault MATTHIEU,36:49:46,38,M,FRA
113,GAY FREDERIC,36:52:24,41,M,FRA
114,Mataigne Damien,36:53:35,43,M,BEL
115,Clerc Pithon Quentin,36:55:49,34,M,FRA
116,Tacquard Wilfried,37:02:15,38,M,FRA
117,MARIOT Julien,37:07:46,36,M,FRA
118,DE MONCUIT Quentin,37:09:32,37,M,FRA
119,SIMON Antoine,37:11:18,38,M,FRA
120,ESNAULT Stephen,37:12:19,37,M,FRA
121,VEE Jean Daniel,37:18:50,50,M,FRA
122,Bonneau Emile,37:19:11,27,M,FRA
123,TECHER Cedric,37:19:24,43,M,FRA
124,PHALIPPOU Benoit,37:20:37,43,M,FRA
125,MARINI Julie,37:21:00,36,F,FRA
126,Bredin Swann,37:22:10,34,M,FRA
127,VOISIN Regis,37:24:00,42,M,FRA
128,PINK Jean Cedric,37:24:50,38,M,FRA
129,Chartier Theo,37:26:38,32,M,FRA
130,HAUSS David,37:26:39,40,M,FRA
131,ROUSSEL Sebastien,37:31:13,36,M,FRA
132,BRUNETEAU Fabien,37:33:21,36,M,FRA
133,champion Jonathan,37:35:03,34,M,FRA
134,ERDELI Aurelian,37:35:20,37,M,FRA
135,Schweizer Adrien,37:37:53,37,M,FRA
136,Descombes Guillaume,37:42:47,36,M,FRA
137,ROBERT Jean Rene,37:43:32,47,M,FRA
138,ANEL Fabrice,37:43:54,47,M,FRA
139,MALLERET Philibert,37:44:06,32,M,FRA
140,Scholzen Christophe,37:46:36,40,M,BEL
141,Sigaud Nathan,37:52:56,27,M,FRA
142,FOLCHER Pierre,37:59:27,29,M,FRA
143,LAGORCE Thibault,38:00:00,35,M,FRA
144,NELZ MOREAU Gael,38:00:03,44,M,FRA
145,GONNEAU Jovanny,38:01:59,41,M,FRA
146,DANJOUX Jonathan,38:03:29,39,M,FRA
147,Clavel Samuel,38:05:21,39,M,FRA
148,Tomas vera Alphonse,38:07:17,61,M,FRA
149,BENOIT Jerome,38:08:12,48,M,FRA
150,Bouan Antoine,38:08:47,36,M,FRA
151,BOULIERE Fabien,38:10:33,45,M,FRA
152,PIERRES Vincent,38:11:06,32,M,FRA
153,BOURON Nicolas,38:16:44,34,M,FRA
154,VAN EGROO Sebastien,38:17:49,36,M,FRA
155,Bruyneel Flavie,38:19:52,35,F,FRA
156,ROMILY Jean Dany,38:23:41,50,M,FRA
157,Degrange Geoffroy,38:24:20,39,M,FRA
158,OLIVAR Johnny,38:24:41,44,M,FRA
159,MALINESOUCHETTY Jean Alain,38:25:50,51,M,FRA
160,MARTY Frederic,38:26:28,47,M,FRA
161,GILLET Gabriel,38:28:42,28,M,FRA
162,beaussier Alain,38:32:00,42,M,FRA
163,Guiguen Anthony,38:36:59,41,M,FRA
164,Blanchard Maxime,38:37:06,34,M,FRA
165,TOLLET Ghislain,38:38:06,29,M,FRA
166,Monneret Romain,38:38:27,28,M,FRA
167,VUILLEMOT Charly,38:39:29,38,M,FRA
168,Hess Nicolas,38:40:53,27,M,FRA
169,LOUBAT Tom,38:42:22,30,M,FRA
170,FILLEAU Francois,38:46:18,39,M,FRA
171,BERRICHON Eddy,38:50:22,43,M,FRA
172,HARY Yohan,38:50:33,37,M,FRA
173,DELMOULY KEVIN,38:50:39,33,M,FRA
174,saunier julien,38:50:54,38,M,FRA
175,MARCUCCILLI Jeremie,38:51:08,43,M,FRA
176,FAGOUET Claude,38:51:16,45,M,FRA
177,CAMACHO Jerome,38:52:16,37,M,FRA
178,Sabatier Laurent,38:52:30,40,M,FRA
179,Schiavo Emilien,38:57:59,37,M,FRA
180,Guichaoua Alexandre,39:02:00,30,M,FRA
181,EMMA Willy,39:02:05,40,M,FRA
182,Coevoet Lionel,39:03:14,40,M,FRA
183,DARD Laurent,39:03:38,53,M,FRA
184,Boisserie Nicolas,39:03:43,32,M,FRA
185,FETET Bruno,39:03:44,37,M,FRA
186,VAULEON Timothee,39:09:52,30,M,FRA
187,JEGU Julien,39:16:33,38,M,FRA
188,Brabant Antoine,39:16:53,29,M,BEL
189,MORISSE Yoann,39:17:43,41,M,FRA
190,Verrot Mathias,39:18:07,30,M,FRA
191,Secheresse Clément,39:18:24,32,M,FRA
192,CLUZANT Florent,39:22:14,38,M,FRA
193,CHEVALIER Clément,39:22:16,37,M,FRA
194,MARECHAL Mathieu,39:22:58,43,M,FRA
195,Bardet Maxime,39:23:24,33,M,FRA
196,DENIS Emmanuel,39:30:14,49,M,FRA
197,THIEUX Marie Laure,39:30:16,41,F,FRA
198,BIGOT Romain,39:31:23,31,M,FRA
199,Picard Romain,39:32:54,42,M,FRA
200,MOUTAMA Laurent,39:35:09,42,M,FRA
201,DESTAS Maxime,39:36:27,43,M,FRA
202,NICOLAS Antoine,39:41:35,38,M,FRA
203,AYCAGUER Laurent,39:42:53,41,M,FRA
204,Le Bonniec Yann,39:43:12,43,M,FRA
205,BOUAN Romain,39:44:06,34,M,FRA
206,Vionnet Magali,39:44:35,33,F,SUI
207,GUEGANO Nicolas,39:45:59,40,M,FRA
