Place,Runner,Time,Age,Gender,Country
1,BUTACI Raul,13:22:32,39,M,ROU
2,HERAS Miguel,13:32:48,49,M,ESP
3,MANOLE IONEL CRISTIAN,13:49:04,36,M,ROU
4,CARRETERO Abel,13:49:40,33,M,ESP
5,shen jiasheng,14:04:40,29,M,CHN
6,Simon Aymerich Andreu,14:07:50,33,M,ESP
7,MILLER Zach,14:10:45,36,M,USA
8,WADE Josh,14:19:08,30,M,GBR
9,Dame Dylan,14:37:06,28,M,BEL
10,RUEDA Santos Gabriel,14:56:01,33,M,ARG
11,RIVERO Estanislao,15:08:02,42,M,ESP
12,RICHARD Victor,15:10:11,38,M,BEL
13,DAUWALTER Courtney,15:14:54,39,F,USA
14,DE VERA HUERTA Ivan,15:29:28,47,M,ESP
15,SOUSA Bruno,15:53:50,41,M,POR
16,Viani Yohan,15:55:26,27,M,FRA
17,Szabo Csaba-Zsolt,16:22:50,39,M,ROU
18,TREMPS Claudia,16:27:03,28,F,ESP
19,Martín Lorenzo Alexis,16:30:26,33,M,ESP
20,Karykas Alexandros,16:31:46,32,M,GRE
21,BASSI Nicola,16:44:07,37,M,ITA
22,GODET sebastien,16:45:32,39,M,FRA
23,Atanasov Dimitar,16:50:20,41,M,BUL
24,Stuart Emma,16:50:40,34,F,GBR
25,Heirbaut Arne,16:53:28,31,M,BEL
26,Johnston Stuart,16:54:00,33,M,GBR
27,COELHO Márcio,16:58:33,44,M,POR
28,Urbina Rubio Alexandre,16:58:34,35,M,ESP
29,CASADO FERRUS Josep,17:02:27,45,M,ESP
30,GIL GIL Juan Pablo,17:04:30,44,M,ESP
31,Botran de Leon Javier,17:09:53,38,M,ESP
32,SHERPA Sange,17:12:27,43,M,NEP
33,SOSA Javier,17:20:09,40,M,ESP
34,LEON Jose Manuel,17:38:02,54,M,ESP
35,Schindler Jonathan,17:40:53,32,M,SUI
36,Kleiner Antoine,17:45:11,29,M,FRA
37,TOAQUIZA CAIZA Luis Washington,17:45:34,46,M,ECU
38,Romero Valentin Nicolas,17:47:10,29,M,ARG
39,Medina Llarena David,17:48:32,40,M,ESP
40,ORTEGA SANTANA Angel,17:48:48,54,M,ESP
41,STELMACH Dominika,17:49:19,42,F,POL
42,granados llorens Luis,17:49:56,34,M,ESP
43,RODRIGUEZ RUIZ Isaac,17:50:07,43,M,ESP
44,TONI Contreras Jimenez,18:04:26,48,M,ESP
45,PERCHIN ALBORES Enrique,18:07:27,40,M,ESP
46,FRENKEL Stanislav,18:13:12,40,M,UKR
47,DABROWSKI Kamil,18:19:07,36,M,POL
48,AISA DOMINGUEZ Calixto,18:19:36,43,M,ESP
49,Cabra perello Sebastián,18:26:09,42,M,ESP
50,CALDERON Toni,18:29:07,48,M,ESP
50,GISBERT DOMENECH Jordi,18:29:07,47,M,ESP
52,CHRETIEN Jerome,18:37:33,31,M,BEL
53,auclair derek,18:45:04,35,M,FRA
54,ARAUJO GOPAR Arcadio,18:45:39,52,M,ESP
55,CUARTERO CLERIGUES German,18:49:23,43,M,ESP
56,VINCENT Adrien,18:52:45,25,M,BEL
57,Pracht Stefan,18:53:08,58,M,GER
58,BONA CARNEROS Ruben,18:54:22,47,M,ESP
59,AFONSO DEL ROSARIO Carlos Francisco,18:55:58,44,M,ESP
60,MORALES RUIZ Mencey,18:59:50,33,M,ESP
61,VILLEGAS Sergio,19:02:06,46,M,ESP
62,BAARS Anouk,19:03:16,46,F,NED
63,NARKELIUNAS Jonas,19:06:32,33,M,LTU
63,Yoshizumi Yuri,19:06:32,38,F,JPN
65,Knittel Stephane,19:10:29,39,M,FRA
66,BENEJAM COCA Pau,19:10:30,25,M,ESP
67,Pedro Lloret Marc,19:14:51,20,M,ESP
68,FALCON SANCHEZ Marcos,19:15:33,48,M,ESP
69,NACAR ARROYO Serapio,19:15:42,45,M,ESP
70,LEHKONEN Henri,19:15:50,40,M,AUS
71,VAN DER ZON Robin,19:16:29,38,M,NED
72,GONZALEZ CARRATO Felipe,19:17:07,43,M,ESP
73,GUERRA PEREZ Cristian,19:19:41,42,M,ESP
74,SANTANA QUINTANA Raul,19:20:03,52,M,ESP
75,van der Zon Arjan,19:21:09,40,M,NED
76,ZIMMERMANN Nicolas,19:24:47,32,M,BEL
77,Aduriz Lasa Ibai,19:26:54,38,M,ESP
77,IZA PEREZ Meltxor,19:26:54,39,M,ESP
79,AMAYA HERRERA Sergio,19:27:22,45,M,ESP
80,FRANQUIS SIEIRO Blas,19:27:37,41,M,ESP
81,GONCALVES Ricardo,19:31:23,39,M,POR
82,Buchas Fátima,19:35:19,37,F,POR
83,Blanco Javier,19:36:00,25,M,ESP
84,GERMAIN Jerome,19:38:52,43,M,FRA
85,Baltieri Fabio,19:38:58,40,M,ITA
86,Sieger Philipp,19:39:19,37,M,GER
87,GONZALEZ GONZALEZ Cesar,19:45:30,38,M,ESP
88,HANNECART Ricky,19:46:04,36,M,FRA
88,Hannecart Tom,19:46:04,32,M,FRA
90,JANSE Jelle,19:47:03,42,M,BEL
91,Ferriere Arthur,19:47:54,31,M,FRA
92,FOULQUIE PADILLA JUAN JOSE,19:49:30,42,M,ESP
93,SCIESZKA Wojciech,19:50:53,51,M,POL
94,COOPER Lyndon,19:52:45,43,M,GBR
95,SANTANA MOLINA P. Sergio,19:53:39,54,M,ESP
96,KOTAI Victor,19:56:12,36,M,ROU
97,Yanes Rodriguez Domingo,19:56:24,35,M,ESP
98,Kennedy Matthew,19:57:08,52,M,GBR
99,JODLOWSKI Jan,19:57:54,40,M,POL
100,WERMESCHER Ildiko,19:58:20,59,F,HUN
