Place,Runner,Time,Age,Gender,Country
1,HAWKS Hayden,5:00:36,33,M,USA
2,BRUSETH Fredrik,5:02:06,27,M,NOR
3,SOMMERSETH Stian,5:06:23,27,M,NOR
4,Kulung Suman,5:35:48,33,M,NEP
5,KARWACZYNSKI Roger,5:43:20,36,M,POL
6,Schmid Tobias,5:44:54,27,M,SUI
7,Gut Ramon,5:50:54,34,M,SUI
8,GRUNING Marco,5:58:23,-,M,GER
9,Charrier Clement,6:03:21,28,M,FRA
9,ROLLET Thomas,6:03:21,28,M,FRA
11,Stancl Daniel,6:11:02,29,M,CZE
12,Barbe Vincent,6:11:54,28,M,FRA
13,HOLECZEK Luis,6:16:10,30,M,GER
14,Arsenault Valerie,6:16:25,30,F,CAN
15,CHMIELOWSKA Claudia,6:20:56,26,F,POL
16,SCHMALZER Christoph,6:23:02,34,M,AUT
17,Friedl Anke,6:37:56,33,F,GER
18,GOTTSCHLING Matthias,6:43:04,32,M,AUT
19,REVELANT Lorenzo,6:43:21,46,M,ITA
20,Martinovic Damir,6:44:38,34,M,AUT
21,Ball Ethan,6:46:06,30,M,NZL
22,SMIT Luka,6:47:46,44,M,SLO
23,Serafin Adrien,6:49:33,35,M,BEL
24,ABERNETTY Jens,6:49:45,47,M,GER
25,DUPERAL Gael,6:50:48,31,M,FRA
26,COENEN Gilles,6:52:51,-,M,BEL
27,BEIBL Tobias,6:53:23,34,M,GER
28,MARKLE Rainer,6:54:20,50,M,GER
29,BOTTNER Christopher,6:55:11,33,M,GER
30,Tachot Vincent,6:57:37,38,M,FRA
31,SCHARLIG Philipp,7:02:41,35,M,GER
32,STRAKOVA Anna,7:03:24,51,F,CZE
33,SCHOEFFL Volker,7:05:19,-,M,GER
34,Bitara Matus,7:06:16,31,M,SVK
35,PFISTER Yvan,7:09:08,26,M,FRA
36,MALA Ondrej,7:11:51,34,M,SVK
37,CARPENTIER Jimmy,7:12:17,34,M,FRA
38,AMRICH Jonas,7:12:19,-,M,CZE
39,HAMPEL Hanna,7:12:25,26,F,GER
40,HAIDINGER Rainer,7:14:58,-,M,AUT
41,MARBAIX Pierre,7:15:15,25,M,FRA
42,FISCHER Andreas,7:15:28,36,M,GER
43,FUCHS Benjamin,7:15:40,39,M,GER
44,Quinn Mark,7:16:28,52,M,GBR
45,SCHIEBEL Manuela,7:16:44,41,F,GER
46,PASQUASY Jonathan,7:16:58,39,M,BEL
47,SCHMIDT Sebastian,7:17:48,44,M,GER
48,BERNARD Xavier,7:18:17,36,M,FRA
49,T SERSTEVENS Harold,7:18:43,-,M,BEL
50,Vavrik Petr,7:19:01,34,M,CZE
51,VAGNY Guilhem,7:19:10,37,M,FRA
52,NOLL Jan,7:19:36,-,M,CZE
53,TRENDA Daniel,7:20:08,23,M,CZE
54,KLOCKER Anna elisabeth,7:20:43,-,F,AUT
55,PALLANICH Jorg,7:20:48,-,M,AUT
56,GRUBER Gerald,7:21:00,37,M,AUT
57,TOCUT Jerome,7:21:07,44,M,FRA
58,KOHNOVA Lenka,7:22:44,36,F,CZE
59,Leventoux Matthias,7:25:14,26,M,FRA
60,WINKELMANN Markus,7:26:30,39,M,GER
61,VERMEULEN Ambrosius,7:26:31,33,M,NED
62,GHIROTTO Igor,7:28:05,32,M,ITA
63,Meijer Bob,7:28:08,42,M,NED
64,Schöffl Isabelle,7:30:33,48,F,GER
65,HOFECKER Martin,7:31:52,53,M,AUT
66,Prager Sabrina,7:34:15,37,F,GER
67,Kadlec Jan,7:35:18,44,M,CZE
68,CASPERS Tessa,7:36:14,32,F,NED
69,HOELTING Robert,7:36:56,49,M,GER
70,BRUNECKER Till,7:38:00,36,M,GER
70,Krahl MATT,7:38:00,35,M,GER
72,KOCH Olaf,7:38:36,64,M,GER
73,SCHULMEISTER Fabian,7:38:37,-,M,GER
74,Murco Dusan,7:39:57,39,M,SVK
75,HOLZKNECHT Daniel,7:40:14,32,M,AUT
76,Barnes Richard,7:43:38,35,M,GBR
77,ALMIRON TABORGA Marcos,7:43:56,37,M,ESP
78,WAETERSCHOOT Jorik,7:44:28,-,M,BEL
79,KAPOUN Andrea,7:44:55,39,F,AUT
80,JONCA Christian,7:45:22,35,M,GER
81,FOUREL Colin,7:45:43,31,M,FRA
82,BAUER Andreas,7:46:15,47,M,GER
83,EIGENMANN Stephan,7:46:45,28,M,SUI
84,VILFAN Luka,7:49:55,25,M,SLO
85,BODDENBERG Bastian,7:50:27,33,M,GER
86,AUDRAN Frederic,7:50:30,51,M,FRA
87,ENGELHARD Dennis,7:53:22,30,M,GER
88,HOUG Wouter,7:56:43,39,M,NED
89,KOTOUL Martin,7:58:31,-,M,CZE
90,Göbel Manuel,7:59:21,37,M,GER
91,IGLSEDER Lisa,7:59:32,-,F,GER
92,OBERBERGER Andreas,7:59:45,52,M,GER
93,NARDI Luca,8:00:30,26,M,GER
94,TUSEK Bogdan,8:00:37,50,M,SLO
95,Koller Daniel,8:01:57,22,M,AUT
