Place,Runner,Time,Age,Gender,Country
1,SINCLAIR David,4:57:35,32,M,USA
2,HENDRY Sam,5:24:57,25,M,CAN
3,PATTERSON Scott,5:32:26,67,M,USA
4,DAVID HEDGES David,5:38:35,27,M,USA
5,BARNETTE Grant,5:45:56,28,M,USA
6,PETERMAN Adam,5:46:57,29,M,USA
7,Becker Ryan,5:49:49,30,M,USA
8,BARTON Forrest,5:50:09,-,M,USA
9,CANADAY Sage,5:51:23,39,M,USA
10,METZGER Daniel,5:57:37,30,M,USA
11,Sullivan Tommy,6:01:04,31,M,USA
12,BRAMBLETT Jordan,6:03:33,27,M,USA
13,LETO Kyle,6:05:12,38,M,USA
14,Rich Jesse,6:06:08,35,M,USA
15,Jewkes Nate,6:08:57,34,M,USA
16,DEFEO Joey,6:11:05,26,M,USA
17,Lowther Jazmine,6:15:05,32,F,CAN
18,Noyes Mali,6:22:31,35,,USA
19,KLEVEN Kodi,6:24:12,31,F,USA
20,SNYDERMAN Reed,6:26:44,33,M,USA
21,WISE Andrew,6:30:57,30,M,USA
22,GRINIUS Gediminas,6:33:36,45,M,LTU
23,HAINES Sam,6:34:22,-,M,USA
24,SULLIVAN EMKAY,6:35:09,30,F,USA
25,PANCAKE Devin,6:36:48,-,M,USA
26,KOWALLIS Kory,6:40:26,44,M,USA
27,ALLISON LINDSAY,6:41:39,28,F,USA
28,LINDQUIST Ruby,6:41:53,25,F,USA
29,SONDAZ Nicolas,6:42:14,50,M,FRA
30,CRELLIN Brennan,6:44:55,37,M,USA
31,RUCH Dan,6:45:40,39,M,USA
32,CALDWELL Emily,6:48:02,30,F,USA
33,SICARD Jerome,6:50:42,51,M,FRA
34,BOEDING James,6:53:19,-,M,USA
35,WITHERELL Colton,6:53:23,29,M,USA
36,CRELLIN ALEXIS,6:55:28,39,F,USA
37,CHRISTENSEN Garrett,6:56:57,30,M,USA
38,KIRK Christopher,6:58:26,27,M,USA
39,GAVRILOV Egor,6:59:27,39,M,RUS
40,DOLL Steven,7:02:27,-,M,USA
41,GRYGAR George,7:03:16,42,M,USA
42,ALTA Eric,7:03:38,-,M,USA
43,PECHNIK Marko,7:04:12,29,M,USA
44,Kocis Brent,7:07:48,35,M,USA
45,BARGER Keelah,7:07:52,-,F,USA
46,BEAUDWAY David,7:07:56,33,M,USA
47,JOHANNS Brandon,7:08:03,-,M,USA
48,WATSON Jack,7:09:30,44,M,USA
49,DYSZELSKI Justin,7:10:42,37,M,USA
50,HOWELL Kristian,7:10:47,44,M,USA
51,LENAGH Matt,7:11:42,-,M,USA
52,MORGAN Kevin,7:11:58,43,M,USA
53,FRANCIS Alex,7:12:22,34,M,USA
54,YEAMAN Jennifer,7:12:39,31,F,USA
55,PESSEN Yotam,7:12:40,-,M,ISR
56,PETERSON Galen,7:13:23,33,M,USA
57,VEGLIA Nick,7:14:37,-,M,USA
58,MELANSON Finn,7:16:58,33,M,USA
59,KRAYZEL Daniel,7:18:13,-,M,CAN
60,ALLRED Taylor,7:19:11,40,M,USA
61,REILLY Franklin,7:19:28,-,M,USA
62,STOFKO Andrea,7:20:59,29,F,USA
63,WALKER Kevin,7:21:28,31,M,USA
64,KAISER Teresa,7:27:21,35,F,USA
65,DUE Preston,7:28:53,-,M,USA
66,BURKETT Travis,7:35:54,-,M,USA
67,MOORE John,7:38:11,40,M,USA
68,GIBSON Travis,7:38:17,40,M,USA
69,CASILLAS Danny,7:38:31,-,M,USA
70,PETERSON Joslynn,7:38:34,33,F,USA
71,JAMES Hayden,7:39:35,34,F,USA
72,NEUMAN Justin,7:41:43,47,M,USA
73,ARELLANO Scott,7:41:47,-,M,USA
74,VAN DER MERWE Daniel,7:42:52,-,M,RSA
75,ONAN Lucas,7:43:43,34,M,USA
76,BRESNAHAN David,7:44:12,40,M,USA
77,FULLER Joselyn,7:45:39,-,F,USA
78,HENRY BANFIELD Walter,7:45:46,-,M,USA
79,VEILLEUX Mike,7:46:41,47,M,USA
80,WOODBURY Taylor,7:47:50,-,M,USA
81,SCHULMAN Matt,7:49:06,30,M,USA
82,HUMBLE Daniel,7:49:22,-,M,USA
83,PELISSON Vincent,7:53:09,31,M,FRA
84,GALBRAITH Andrew,7:56:09,31,M,USA
85,SHIELDS Rex,7:56:32,-,M,USA
86,Von Thun Scott,7:57:21,32,M,USA
87,BERESFORD Colin,7:59:16,-,M,USA
88,BASSETT Conner,8:02:40,37,M,USA
89,GIARRUSSO Joseph,8:03:05,36,M,USA
90,GALLO Matias,8:04:42,28,M,ARG
91,NORDYKE Andrew,8:04:46,-,M,USA
92,RATLIFF Anna,8:05:03,-,F,USA
93,SHEIKH Elaine,8:07:43,30,F,USA
94,Sondaz Remi,8:08:08,24,M,COL
95,LANTZ Jonathan,8:08:38,40,M,USA
96,GOODFELLOW Reid,8:08:43,30,M,USA
97,ZAUGG Casey,8:09:35,-,M,USA
98,ARMIJO Stacey,8:09:54,48,F,USA
99,ZICK Janel,8:11:03,32,F,USA
100,WRATHALL Jonathan,8:12:24,-,M,USA
101,MASLOSKI Joanna,8:12:46,46,F,USA
102,GILLESPIE Michael,8:13:37,38,M,USA
103,ZALLES Ian,8:13:50,-,M,USA
104,HEISER Adam,8:14:13,-,M,USA
105,WICKHAM Austin,8:15:20,-,M,USA
106,AXBERG Liz,8:15:25,-,F,USA
107,RASMUSSEN David,8:15:40,68,M,USA
108,THOMPSON Tyler,8:15:44,38,M,USA
109,Caleb Schiff,8:16:05,42,M,USA
110,BAKER Sam,8:17:02,-,M,USA
111,BEARDEN Shawn,8:17:11,52,M,USA
112,MCCALL Ethan,8:17:18,-,M,USA
113,WHITE David,8:18:19,53,M,USA
114,FLAIGMORE Mary,8:18:24,-,F,USA
115,CORTES Santiago,8:19:27,-,M,COL
116,GRUND Daniel,8:20:48,-,M,USA
117,SCHWEIZER Tad,8:21:32,27,M,USA
118,OPATZ Russell,8:21:50,39,M,USA
119,SCHULTZ Nikolaus,8:22:05,-,M,USA
120,PATINO Fransisco,8:22:11,40,M,USA
121,ABRAHAMS Carrie,8:22:30,45,F,CAN
122,MASON Mike,8:23:59,53,M,USA
123,ANTINORI Christopher,8:24:12,50,M,USA
124,MULCAHY Kate,8:24:25,32,F,USA
125,Robinson Corey,8:25:32,35,M,USA
126,DESEMPLE William,8:26:12,-,M,USA
127,MURRAY Oliver,8:26:35,26,M,AUS
128,INOUYE Christopher,8:26:52,42,M,USA
129,STOLTZFUS Raymond,8:29:42,33,M,USA
130,FERNANDEZ Katherine,8:29:50,38,F,USA
131,CHAMBERS Nick,8:30:13,36,M,USA
132,WRIGHT Jason,8:30:19,34,M,USA
133,DIGIANO Amelia,8:32:57,-,F,USA
134,KIDWELL Carson,8:33:29,29,M,USA
135,GAVRILOVA Anna,8:33:49,38,F,RUS
136,LEACH Andrew,8:34:20,32,M,USA
137,GREEN Amber,8:35:43,44,F,USA
138,KLINGSPORN Montana,8:36:09,26,M,USA
139,TAIT Jordan,8:36:17,43,M,USA
140,HUMBLE Sarah,8:36:39,37,F,USA
