Place,Runner,Time,Age,Gender,Country
1,Quartier Simon,8:20:45,25,M,SUI
2,DAUWALTER Courtney,8:24:57,39,F,USA
3,DETAVERNIER Arne,8:52:46,36,M,ITA
4,pillot julien,8:55:53,34,M,FRA
5,CAYOL Remi,9:00:06,35,M,FRA
6,BRENARD Damien,9:17:27,31,M,BEL
7,HELOURY Yves,9:25:11,25,M,FRA
8,CABAYE Paul,9:33:16,31,M,FRA
9,QUINTARD Marine,9:36:45,33,F,FRA
10,MORET Kevin,9:42:00,35,M,SUI
11,ROOBAERT Robin,9:46:34,29,M,BEL
12,Dieperink David,10:01:30,21,M,SUI
13,GREINER Daniel,10:12:02,40,M,GER
14,Dickhout Renske,10:12:36,34,F,NED
15,Bastian Dylan,10:18:38,29,M,FRA
16,Barabotti Agustin,10:28:36,34,M,ARG
16,Correa Bohorquez Fabian,10:28:36,33,M,COL
18,BETRISEY Quentin,10:35:13,26,M,SUI
19,LIMONGI Davide,10:38:00,37,M,ITA
20,FELLAY Mael,10:38:43,27,M,SUI
21,STOLK Idwer,10:38:51,37,M,NED
22,ROLFINI Alessandro,10:44:26,34,M,ITA
23,CHILLA Clement,10:44:52,33,M,FRA
24,MEURENS Laurent,10:47:12,33,M,BEL
25,PRISE Kerry,10:52:57,32,F,GBR
26,BELLER Pierre Louis,10:53:08,29,M,FRA
27,IRATZOQUY Marie Charlotte,11:02:25,24,F,FRA
28,MEOLI Camille,11:08:13,29,M,SUI
29,Garcia Brizard Jérémy,11:20:34,31,M,FRA
30,WERLEN Nicolas,11:21:44,24,M,SUI
31,Rijs Caroline,11:22:41,37,F,BEL
32,PINAT Enzo,11:23:26,21,M,FRA
33,Gori DAVID,11:25:25,32,M,SUI
34,FELLAY Noe,11:27:07,28,M,SUI
35,DE VAULX Aurelien,11:29:10,34,M,FRA
36,RACINE Aurore,11:34:57,32,F,FRA
37,SCHWEBEL Anais,11:41:34,35,F,FRA
38,RAVANI Laura,11:43:35,48,F,ITA
38,WAGNER Andreas,11:43:35,43,M,GER
40,COLZATO Alexis,11:47:57,31,M,FRA
41,BERSIER Jo,11:48:02,38,M,SUI
42,NGUYEN Audrey,11:48:51,40,F,SUI
43,DEBRAY Matthieu,11:49:31,31,M,FRA
44,SBOARINA Manuel,11:51:21,32,M,SUI
45,Bachmann Florian,11:54:47,18,M,SUI
46,BUHRER Sara,11:55:57,42,F,SUI
47,POTTIER Alexis,12:05:27,37,M,FRA
48,Merchier Sebastien,12:06:22,49,M,FRA
49,METCALFE Baptiste,12:11:06,28,M,FRA
50,FORRER Astrid,12:16:15,45,F,SUI
51,CONNELLY Jack,12:21:13,27,M,GBR
52,CHILLA Jordan,12:22:35,40,M,FRA
53,HAYOZ Maelle,12:24:01,26,F,SUI
54,GILES Manuel,12:27:10,35,M,FRA
55,STEINER Jorg,12:40:30,46,M,SUI
56,MUFFAT Lauren,12:45:41,28,F,FRA
57,FRAYSSINHES Camille,12:48:23,23,F,FRA
58,MUSINU Isabelle,12:55:26,43,F,FRA
59,Zurn Nicolas,12:56:31,38,M,SUI
60,Faivre Flore,12:58:36,41,F,FRA
61,D'ADDARIO WUST Karin,13:04:03,46,F,SUI
62,CIER Gaelle,13:04:04,52,F,FRA
63,Badertscher Stéphane,13:05:07,37,M,SUI
64,Stojanovic Plançon Matthew,13:09:35,28,M,FRA
65,HERRERO DE CAMPOS Alejandro,13:10:50,35,M,ESP
66,KUNDIG Daniel,13:11:19,41,M,SUI
67,DAGONEAU Clement,13:11:38,27,M,FRA
68,MONTANARI Thomas,13:14:37,24,M,SUI
69,CHAPERON Arnaud,13:17:36,26,M,SUI
70,FRAUCHIGER Elliot,13:19:16,25,M,SUI
71,BARRE Damien,13:21:26,31,M,FRA
72,LARCHE David,13:25:47,46,M,FRA
73,JAUDOIN Maurane,13:25:53,32,F,FRA
74,GARESSUS Mathis,13:32:03,23,M,SUI
75,LALOI Alexandre,13:35:57,48,M,FRA
76,Cirstoveanu Daniel,13:36:22,31,M,ROU
77,THEIMERT FABIAN,13:38:17,45,M,GER
78,DERIVAZ Lilian,13:39:17,21,M,SUI
79,THOMPSON Oliver,13:45:35,22,M,GBR
80,Courtillat Jerome,13:46:26,52,M,FRA
80,LATHOUWERS Caroline,13:46:26,33,F,BEL
82,GUIROUX Hugo,13:46:31,32,M,FRA
83,Boillat Jérémie,13:46:37,21,M,SUI
84,BUELENS Matthieu,13:47:42,42,M,BEL
85,Guillermin Amelie,13:47:54,41,F,FRA
86,BRUN Philippe,13:52:44,63,M,SUI
87,BOPP Robert,13:56:10,58,M,NED
88,LAVRENCHUK Svitlana,13:58:02,34,F,UKR
89,HAUG Jack,14:00:51,44,M,SUI
90,BONANOMI Andrea,14:00:57,40,M,SUI
91,Hayoz Patrick,14:04:10,57,M,SUI
92,JOYEUX Alexandre,14:04:40,29,M,BEL
93,Bellon Frederic,14:04:46,50,M,SUI
94,ROBIN Clement,14:08:53,32,M,BEL
95,DURAND FREDERIC,14:11:59,48,M,FRA
96,FILLEAU Clement,14:12:03,38,M,FRA
97,De Kort Evert-Jan,14:13:54,49,M,BEL
98,BASTIEN Cedric,14:14:05,45,M,FRA
99,HILLARD Gabriel,14:20:08,28,M,FRA
100,VOLET Pierre Alain,14:20:17,52,M,SUI
101,SONZOGNI Noemie,14:36:52,30,F,FRA
102,HOLST PLENOV Marcus Christian,14:41:54,25,M,DEN
103,THOMPSON John,14:42:10,52,M,USA
104,GRANDJEAN Michel,14:43:13,55,M,SUI
105,JEHIN Thomas,14:43:34,32,M,BEL
106,DAMTOFT Emil,14:45:06,25,M,DEN
107,MORANDI Nicolas Andres,14:46:04,36,M,SVK
108,queric Jerome,14:54:59,51,M,FRA
109,ENTHOVEN Luc,14:56:50,28,M,NED
110,BENOIT Elliot,14:57:03,29,M,FRA
111,BLAKELEY Camille,14:57:26,31,F,FRA
112,SALOMON David,14:57:49,42,M,SUI
113,DELVAUX Jean Marc,14:57:52,42,M,BEL
114,LYON Florence,14:58:18,57,F,FRA
115,LACARBONARA Matteo,14:59:58,31,M,SUI
116,DUFOUR Simon,15:01:34,36,M,SUI
116,WIDMER Fabrice,15:01:34,51,M,SUI
118,LEAL Kévin,15:02:27,35,M,FRA
119,Bozzini Morgan,15:02:50,40,M,FRA
120,Ruisi Giada,15:03:10,29,F,ITA
121,MACLEAN MARTIN Neil,15:06:36,48,M,GBR
122,MENDOZA Valerie,15:07:43,52,F,FRA
123,ALBASINI David,15:07:44,43,M,SUI
124,BUHLER Valerie,15:07:48,50,F,SUI
125,CUTLER John,15:19:14,29,M,USA
126,Johnssen Caroline,15:20:49,49,F,GER
127,Deudon Pierre,15:21:12,28,M,BEL
128,CURIOZ Baptiste,15:22:54,25,M,SUI
129,RINGENBACH Jean Clement,15:22:57,27,M,SUI
130,ZIMMERMANN Nadia,15:23:04,49,F,SUI
131,GOSSET Virginie,15:26:59,48,F,SUI
132,HUBER Dario,15:34:07,37,M,SUI
133,GIACOMELLI AXEL,15:41:34,38,M,SUI
134,Breneliere Julien,15:41:35,41,M,FRA
135,Spacek Daniel,15:43:22,47,M,CZE
136,DELBART Brieuc,15:49:12,31,M,BEL
137,COULON Aline,15:49:13,36,F,BEL
138,DAWANS Martin,15:49:17,31,M,BEL
139,Dyck Walter,15:58:38,49,M,GER
140,CLERC Jerome,16:00:35,50,M,FRA
141,NIEL Emile,16:01:31,25,M,FRA
142,BRONSART Audrey,16:02:16,39,F,BEL
143,Farron Alain,16:09:11,65,M,SUI
144,GENIN Florent,16:09:32,43,M,FRA
145,BOUNAAS Faouzi,16:09:33,55,M,FRA
146,Di Sebastiano Andrea,16:10:21,38,M,ITA
147,CLEMENT Fabienne,16:10:22,53,F,SUI
148,LUISIER Oceane,16:14:46,25,F,SUI
149,SZIGETI Csaba,16:17:40,37,M,HUN
150,HAKKAR Malik,16:17:51,47,M,FRA
151,DAVID Matthieu,16:18:27,39,M,FRA
152,DE WOLF Dimitri,16:22:00,45,M,BEL
153,WIATROWSKI Marion,16:26:52,31,F,FRA
154,KOLLY Eric,16:27:38,46,M,SUI
155,ANTUNES Michael,16:32:03,33,M,FRA
156,NGUYEN Thomas,16:32:04,32,M,FRA
157,LOMPRAKHON Chalermpon Matt,16:46:58,37,M,THA
158,NOLLET Nicolas,16:47:48,43,M,BEL
159,GODINO Camille,16:47:56,29,F,FRA
159,Rouelland David,16:47:56,51,M,FRA
161,ALBERT Benoit,16:48:58,57,M,FRA
162,NICOSIA Elena,16:48:59,49,F,ITA
163,CARGNELLO Alessandra,16:49:00,46,F,ITA
164,PERRET Gilles,16:49:01,61,M,FRA
165,MORISOD Estelle,16:59:22,30,F,SUI
166,REBORD Rene,16:59:25,29,M,SUI
167,PIRON Maud,17:14:18,36,F,BEL
168,TSHAIMANGA Quentin,17:34:28,33,M,FRA
169,kintzig paul,17:34:51,35,M,FRA
170,GELY Dolma,17:43:07,28,F,FRA
171,CLOPPET Jean Paul,17:47:52,58,M,FRA
172,Fermo Damien,17:49:00,24,M,SUI
173,LAUTREFIN Adrien,18:01:08,41,M,FRA
174,jaquier Nicolas,18:06:58,40,M,SUI
175,MAILLOTTE Franck,18:07:01,52,M,FRA
176,ROH Maxence,18:07:02,20,M,SUI
177,MAGNIN FEYSOT Thomas,18:07:03,36,M,FRA
178,SELLEZ Clara,18:17:13,35,F,FRA
179,LODIOT Antoine,18:18:20,30,M,FRA
180,HERVIEUX Benoit,18:41:33,34,M,FRA
180,ROH Maelan,18:41:33,20,M,SUI
