Place,Runner,Time,Age,Gender,Country
1,HEMMING Eli,3:25:23,29,M,USA
2,JONES Daniel,3:28:03,34,M,NZL
3,Watson Cole,3:32:51,33,M,USA
4,RUHLING SETH,3:35:59,30,M,USA
5,MENDOZA Mario,3:39:13,38,M,USA
6,GRENFELL SHAW Luke,3:44:43,30,M,GBR
7,LENEHAN Matt,3:45:39,33,M,USA
8,BUTTON DAN,3:47:26,38,M,USA
9,Potvin Joshua,3:47:47,35,M,CAN
10,Kai Hiroki,3:52:23,30,M,JPN
11,MORENO Daniella,3:52:24,32,F,USA
12,DAGENAIS Martin,3:53:29,31,M,CAN
13,GIANNINY Gordon,3:53:53,28,M,USA
14,SMITH Ryan,3:57:16,44,M,USA
15,Lichter Jennifer,3:57:49,28,F,USA
16,HEMMING Tabor,3:59:44,27,F,USA
17,Lavin Travis,4:04:16,36,M,USA
18,Morin Élisa,4:06:47,28,F,CAN
19,CHIH-YUAN CHANG,4:13:25,27,M,TPE
20,LEWIS SAMANTHA,4:14:00,30,F,USA
21,Lesh Robyn,4:16:09,30,F,USA
22,TROQUENET Troquenet,4:20:27,79,M,PYF
23,Baeza Carlos,4:20:42,29,M,MEX
24,Hunt Geoffrey,4:25:17,45,M,CAN
25,COLTON Eric,4:27:22,41,M,USA
26,LENAGH Matt,4:28:41,-,M,USA
27,LENTZ Cliff,4:29:14,59,M,USA
28,GRETH Nolan,4:30:04,79,M,USA
29,MORGAN Kevin,4:30:42,43,M,USA
30,PERROT MINOT CHARLES,4:30:43,34,M,CAN
31,BELGIOVINE Michael,4:32:35,79,M,USA
32,Bonelli Eugenio,4:32:53,30,M,ITA
33,STANDIFER Caitlin,4:32:58,79,F,USA
34,PARRA Ricky,4:33:19,30,M,USA
35,GRINSTAIN Joseph,4:34:30,79,M,USA
36,BISHOP Samuel,4:35:57,26,M,USA
37,Eaton Michael,4:36:57,37,M,USA
38,MCLUCKIE Duncan,4:38:26,42,M,CAN
39,Backholm Ari,4:40:51,50,M,USA
40,Koch Alexandre,4:40:57,40,M,FRA
41,MOONEY Laura,4:41:03,31,F,USA
42,SCHULMAN Matt,4:41:13,30,M,USA
43,REESE James,4:41:16,25,M,USA
44,GWALTNEY Ian,4:41:24,22,M,USA
45,HOLVE Christopher,4:47:27,79,M,USA
46,Kroger Chris,4:49:25,56,M,USA
47,TENNANT Jake,4:50:08,26,M,USA
48,MACY JACK,4:50:17,55,M,USA
49,ROWBURY Steve,4:52:08,57,M,USA
50,GOMEZ PAUL,4:52:45,38,M,ECU
51,Soudee Thierry,4:54:06,51,M,FRA
52,Treignier Jerome,4:55:22,38,M,CAN
53,SMITH Joel,4:56:28,31,M,USA
54,BEAR Care,4:57:02,46,F,USA
55,Dube Guillaume,4:57:26,38,M,CAN
56,Awald Laurel,4:58:15,28,F,USA
57,EDWARDS Taylor,4:58:46,33,M,USA
58,BERRY Tara,4:58:52,39,F,CAN
59,HRISTOV Emil,5:01:01,40,M,MKD
60,COLLISON Jessie,5:05:13,79,F,CAN
61,TYLER Ben,5:05:37,33,M,USA
62,LYNCH Katharine,5:05:52,-,F,USA
63,LOWE Oliver,5:06:27,79,M,USA
64,SCHEUER Adriano,5:07:17,40,M,BRA
65,LEVASSEUR Kate,5:08:35,39,F,USA
66,KNAST Lindsey,5:09:29,79,F,USA
67,YARRA Curtis,5:09:31,79,M,USA
68,Ariso Sofian,5:10:00,36,M,FRA
69,Agulov Egor,5:10:12,36,M,USA
70,SOUCY Genevieve,5:10:14,45,F,CAN
71,HART Heyward,5:10:16,-,M,USA
72,Di Iorio Christina,5:10:37,28,F,CAN
73,SEVILLA Bernardo,5:10:43,54,M,ECU
74,DEZA LEON Jorge,5:11:04,-,M,MEX
75,ROUNDS MCKEEN Heidi,5:11:31,43,F,USA
76,CASSEL JOACHIM,5:11:53,34,M,GBR
77,WARNER Andrew,5:12:47,61,M,USA
78,CARLSON Mack,5:13:29,53,M,USA
79,KANG Dean,5:13:52,41,M,USA
80,GALLO Matias,5:15:35,28,M,ARG
81,REGNIER Noah,5:16:05,79,M,USA
82,HEISER Adam,5:18:17,-,M,USA
83,CHACON Robert,5:18:53,36,M,USA
84,GOODWIN Anna,5:19:55,79,F,CAN
85,VILAS Melissa,5:20:09,79,F,USA
86,REDDING Pax,5:20:18,49,M,CAN
87,MASTERS Anthony,5:20:28,26,M,USA
88,Dosch Lisa,5:22:03,43,F,USA
89,MAILLARD Morgan,5:22:32,79,M,FRA
90,CROTEAU Jean Francois,5:24:07,-,M,CAN
90,LECLERC Virginie,5:24:07,33,F,CAN
92,Topcu Mert,5:24:37,51,M,USA
93,RUSSI CATALAN Rafael,5:24:52,79,M,BRA
94,WILSON Michael,5:25:03,46,M,USA
95,VAZQUEZ Sergio,5:25:16,44,M,MEX
96,MURALIDHARA Sachin,5:26:58,32,M,IND
97,JURSCH Greta,5:27:02,-,F,USA
98,WILSON Ian,5:27:29,49,M,USA
99,MELTON Ben,5:28:08,30,M,USA
100,LEACH Andrew,5:28:43,32,M,USA
101,COOPER Daniel,5:29:08,39,M,USA
102,CARPENTER Josh,5:29:10,79,M,USA
103,Ferrada Mauricio,5:29:26,50,M,CHI
104,SORENSEN Christian,5:29:34,48,M,USA
105,STREETER Amy,5:30:24,38,F,USA
106,LEKKERKERKER Jarno,5:30:31,48,M,NED
107,LACROIX Jocelyn,5:30:43,79,M,CAN
108,REAM Jason,5:30:49,-,M,USA
109,CARDOZO PULIDO JUAN MANUEL,5:30:52,44,M,COL
110,ROMERO Seth,5:31:23,31,M,USA
111,SMITH Jason,5:31:52,53,M,CAN
112,GODIN Allison,5:31:53,28,F,USA
113,AITKEN David,5:32:32,79,M,CAN
114,BUBELA Miroslav,5:32:57,79,M,UKR
115,Wang kehui,5:33:39,33,F,CHN
116,DLOUHY Dani,5:34:04,79,F,USA
117,CARTWRIGHT Nathan,5:34:08,-,M,USA
118,BRAY Sally,5:35:22,45,F,USA
119,TUNG James,5:35:26,79,M,USA
120,PORTMAN Sarah,5:35:35,79,F,USA
121,WARD Scott,5:37:55,35,M,USA
122,HICKMANN Mari,5:38:05,-,F,USA
123,AREVALO Carl,5:38:28,-,M,USA
124,ROHNE Brianna,5:38:30,40,F,USA
125,MASH Nate,5:39:29,79,M,USA
126,HOGYE Nathan,5:39:39,79,M,USA
127,ROSA Clayton,5:40:11,79,M,USA
128,Pham Tin,5:40:18,55,M,USA
129,Hardy Magalie,5:41:01,46,F,CAN
130,OSTROVSKY Aaron,5:41:09,48,M,USA
131,WOO Steve,5:41:30,53,M,USA
132,BRERETON Douglas,5:41:31,79,M,USA
133,CARVAJAL Enrique,5:42:14,40,M,MEX
134,PONOMAREV Igor,5:42:29,-,M,USA
135,GOSSELIN Antoine,5:43:00,79,M,CAN
136,FREIBERG Stephen,5:44:02,79,M,USA
137,SAROOD Osman,5:45:09,79,M,PAK
138,CHUN Natalie,5:45:48,45,F,USA
139,MOFFETT Michael,5:45:55,64,M,USA
140,STERLIN Pascal Edouard,5:45:59,40,M,HAI
141,STANDER Robert,5:48:28,47,M,USA
142,ZAMBRANO Tamara,5:48:41,52,F,ECU
143,ALFARO Manuel,5:48:56,37,M,CRC
144,JOHANNENSEN Phoebe,5:49:09,79,F,USA
145,CONNELLY Annie,5:49:32,26,F,USA
145,THOMAS Sarah,5:49:32,37,F,USA
147,BITTER Mark,5:49:57,79,M,USA
148,HARTNETT Kevin,5:50:06,40,M,IRL
149,ANDRES GALINDO RODRIGUEZ Jose,5:50:29,79,M,MEX
150,DE LOS COBOS Brian,5:50:37,-,M,USA
151,Venturino Gianni,5:51:45,39,M,CAN
152,DALEY Thomas,5:52:14,61,M,USA
153,PIUZE Emmanuel,5:52:32,38,M,USA
154,BRAY Allen,5:52:46,45,M,USA
155,Moslehi Sarah,5:52:49,28,F,CAN
156,Luo Binhao,5:52:53,24,M,CHN
157,HAMEL Jen Rene,5:53:28,59,M,CAN
158,PARTLOW Jacob,5:54:19,79,M,USA
159,OTT Adam,5:54:35,-,M,USA
160,FLEMING Margot,5:56:42,39,F,USA
161,MANUEL BOTTI Juan,5:56:51,79,M,ARG
162,OSCAR CICCHILLI Agustin,5:57:48,79,M,ARG
163,MATSUOKA Shogo,6:00:32,44,M,JPN
164,MOTT Steven,6:00:59,-,M,USA
165,HERNANDEZ Ashley,6:01:31,79,F,USA
166,PETERS Steven,6:01:40,42,M,CAN
167,BEHUNIN John,6:02:33,79,M,USA
168,GEROWITZ Devin,6:02:56,-,M,USA
169,CRAIG Candace,6:03:03,-,F,USA
170,VEGA Brian,6:03:07,79,M,USA
171,BACHRODT Craig,6:03:45,56,M,USA
172,HILBERT Michael,6:03:59,79,M,USA
173,SEEBURGER Jack,6:04:14,79,M,USA
174,WURFEL Mark,6:04:29,57,M,USA
175,PEACHEY Jon,6:04:48,49,M,USA
176,KIRSCHNER Matthew,6:04:50,35,M,USA
177,GABRIEL TEMPRANA Silvio,6:05:05,79,M,ARG
177,REGINA SCARPIN Maria,6:05:05,79,F,ARG
179,LEWIS James,6:05:13,42,M,USA
180,KLETTKE Scott,6:05:16,50,M,USA
181,RICHMOND Amanda,6:05:24,79,F,AUS
182,BLAND Jeff,6:05:52,46,M,USA
183,ANDREAS WALDMANN Jan,6:06:09,79,M,MEX
184,SEKEL Shawn,6:06:48,56,F,USA
185,YOUNG Jeff,6:07:17,38,M,USA
186,HENDRYX Abraham,6:08:36,79,M,USA
187,DE LUNA SAUCEDO Lorena,6:08:44,-,F,MEX
188,LARREA Juan,6:09:02,37,M,ECU
189,ITURBE Agustin,6:09:13,35,M,CAN
190,WESTBERRY Dean,6:09:14,79,M,USA
191,MUNKENBECK Jo,6:09:28,-,F,CAN
192,ENGH Drew,6:09:56,-,M,USA
193,BROCK Jason,6:10:22,48,M,USA
194,GRAS Courtney,6:10:58,79,F,USA
195,WRIGHT Kyle,6:12:25,29,M,USA
196,DEL PISTOIA Cyril,6:12:26,-,M,FRA
196,JONES Travis,6:12:26,-,M,CAN
198,Du Shunfan,6:13:15,28,M,CHN
199,VASILAUSKAS Erik,6:13:26,35,M,USA
200,LIGHTBODY Sofia,6:13:53,28,F,CAN
201,TAI Hua,6:14:09,79,M,CAN
202,RINCON Edwin,6:15:35,38,M,COL
203,Nardone Davide,6:16:11,32,M,ITA
204,LAFLEUR Marc,6:16:26,-,M,CAN
205,OCAMPO Fernando,6:16:33,36,M,CRC
206,MACIK Jon,6:16:49,79,M,USA
206,VAN HOOREN Joost,6:16:49,42,M,NED
208,GU Sixiang,6:16:53,-,M,CHN
209,THYSTRUP Jake,6:17:43,79,M,USA
