Place,Runner,Time,Age,Gender,Country
1,Puppi Francesco,4:31:15,32,M,ITA
2,HAWKS Hayden,4:52:51,33,M,USA
3,CHAPELLE Dimitri,5:08:03,34,M,FRA
4,ZIZMOND Tine,5:09:47,19,M,SLO
5,KLANCNIK Janez,5:14:43,39,M,SLO
6,Civitiello Alessandro,5:23:52,35,M,ITA
7,Szewc Jonasz,5:25:17,22,M,POL
8,LETOJNE Matej,5:27:07,34,M,SLO
9,Zancarli Mirko,5:28:11,30,M,ITA
10,OBLAK Tomaz,5:28:47,26,M,SLO
11,Blatnik Nejc,5:30:00,34,,SLO
12,Nastran Andrej,5:30:29,47,M,SLO
13,Hric Roland,5:31:22,26,M,SVK
14,MOUNIER Gael,5:37:43,31,M,FRA
15,STULAR Klemen,5:42:11,-,M,SLO
16,NAGELER Christoph,5:43:48,35,M,AUT
17,Nidorfer Matej,5:45:43,36,M,SLO
18,PESCOLLDERUNGG Luca,5:46:03,33,M,ITA
19,ZUPANCIC Marjan,5:48:25,53,M,SLO
20,ZERAJIC Dejan,5:50:53,-,M,SRB
21,Paladin Matteo,5:51:27,31,M,ITA
22,RIVIERE Benjamin,5:55:24,41,M,FRA
23,FRENKEL Stanislav,6:04:44,-,M,ISR
24,Sanduleac Mihai,6:04:49,26,M,ROU
25,SEIM Tomas,6:06:49,32,M,NOR
26,KRASULAK Daniel,6:08:40,43,M,POL
27,Steindl Martin,6:11:49,39,M,AUT
28,Fortuny Millan Joel,6:12:05,33,M,ESP
29,KATHOLNIG Alexander,6:12:46,52,M,AUT
30,Trzaska Wojciech,6:13:59,28,M,POL
31,Belak Balazs,6:14:45,42,M,HUN
32,HAVELKA Jaroslav,6:15:31,30,M,CZE
33,Smith Jonathan,6:16:58,39,M,GBR
34,HABERLI Manuel,6:17:32,35,M,SUI
35,Huss Lukas,6:19:41,33,M,AUT
36,KLEIN David,6:20:00,46,M,NED
37,DOMENIS Martin,6:20:31,35,M,SLO
38,Humlíček Kryštof,6:20:55,30,M,CZE
39,STRACHAN Lee,6:22:03,-,M,GBR
40,WLODARCZYK Jaroslaw,6:22:29,49,M,POL
41,Tassani-Prell Stephan,6:23:06,54,M,GER
42,SIEGLOVA Eliska,6:23:21,-,F,CZE
43,BALKENENDE Luuk,6:24:34,-,M,NED
44,ZUZEK Marko,6:24:46,38,M,SLO
45,ZULOVEC Ales,6:25:14,43,M,SLO
46,Ouda Matej,6:25:32,27,M,CZE
47,PENKMAN Jed,6:26:23,43,M,NZL
48,BARBER Anne,6:26:33,36,F,GER
49,ZUCCOLLO FEDERICA,6:26:36,32,F,ITA
50,GLOBOCNIK Miha,6:26:44,36,M,SLO
51,BRAUX Baptiste,6:28:32,31,M,FRA
52,Tomcik Martin,6:30:23,27,M,SVK
53,Stranjak Robert,6:31:42,45,M,SLO
54,STOYANOV Tsetso,6:32:18,42,M,BUL
55,JURAN Tomas,6:35:22,-,M,CZE
56,Zygmunt Tomasz,6:37:35,27,M,POL
57,Plankelj Jernej,6:38:25,33,M,SLO
58,SEDAR Patrick,6:38:50,41,M,AUT
59,LUZZATTO Luca,6:41:09,30,M,ITA
60,Deiana Pina,6:41:54,53,F,ITA
61,ECKMAIER Hannes,6:42:27,-,M,AUT
62,Ardeleanu Amalia-Florentina,6:46:10,32,F,ROU
63,BUZAR Ilija,6:49:29,32,M,SLO
64,LOFGREN Jonas,6:50:03,50,M,SWE
65,SOKMENLI Serkan,6:50:54,34,M,TUR
66,EDWARDS Richard,6:51:33,48,M,GBR
67,Laznik Maja,6:51:57,36,F,SLO
68,Tomberger ELMAR,6:52:01,40,M,AUT
69,Verbiest Kris,6:52:25,39,M,BEL
70,Schunack Martin,6:52:44,42,M,GER
71,Jańczyk Ewa,6:53:23,31,F,POL
72,Črnčec Mitja,6:54:55,33,M,SLO
73,PAVLIC Juta,6:55:46,-,F,SLO
74,KATHOLNIG Chiara,6:56:33,-,F,AUT
75,Kysela Roman,6:58:33,50,M,CZE
76,STAIN Andrei,6:59:19,39,M,POL
77,Žvirc David,6:59:34,33,M,SLO
78,FRIEDMAN Alex,7:00:05,-,M,USA
