Place,Runner,Time,Age,Gender,Country
1,BOUILLARD Vincent,19:54:23,31,M,FRA
2,CHASSAGNE Baptiste,20:22:45,31,M,FRA
3,LOPEZ Joaquin,20:26:22,32,M,ECU
4,Namberger Hannes,20:31:54,35,M,GER
5,POMMERET Ludovic,20:57:48,49,M,FRA
6,JOYEUX BOUILLON Arthur,21:12:12,30,M,FRA
7,LIND Cody,21:33:16,29,M,USA
8,ANGUITA BAYO MANUEL,21:41:01,33,M,ESP
9,BONNECARRERE Gautier,21:45:16,32,M,FRA
10,NOEL Yannick,21:45:18,38,M,FRA
11,WADE Josh,21:52:09,30,M,GBR
12,BARONIAN Thibaut,22:07:48,35,M,FRA
13,SCHIDE Katie,22:09:31,32,F,USA
14,FERRARI Aubin,22:33:07,27,M,FRA
15,LESNIAK Kamil,22:47:34,31,M,POL
16,CROFT Ruth,22:48:37,35,F,NZL
17,MONCANY Jonathan,22:58:01,33,M,FRA
18,Hogan Marianne,23:11:15,34,F,CAN
19,SIMPANEN Juuso,23:11:39,33,M,FIN
20,DENEFFE Guillaume,23:12:54,41,M,BEL
21,SEVENNEC Alexis,23:18:51,37,M,FRA
22,Priadka Marian,23:22:52,39,M,SVK
23,WOODWARD Canyon,23:26:04,31,M,USA
24,SYMONDS Andy,23:38:16,43,M,GBR
25,CHAMBERLAIN Jack,23:40:28,34,M,GBR
26,SCHMID Jonathan,23:42:19,32,M,SUI
27,Luo Canhua,23:51:17,32,M,CHN
28,HENEK Petr,23:52:54,37,M,CZE
29,DIAS Edgar,23:53:30,39,M,FRA
30,BARRERA Jhon,23:57:49,39,M,COL
31,BERTHIER Guillaume,24:03:33,35,M,FRA
32,Leray Matis,24:12:00,25,M,FRA
33,DIVERREZ Jean Marie,24:15:47,49,M,FRA
34,Pesci Hippolyte,24:16:00,31,M,FRA
35,CHEN LIN,24:16:33,33,F,CHN
36,Peters Ethan,24:18:00,26,M,CAN
37,GUIVARCH Jacques,24:21:15,41,M,FRA
38,VILLA Pablo,24:22:21,36,M,ESP
39,BEAUXIS Guillaume,24:35:10,35,M,FRA
40,L HIRONDEL BLANDINE,24:35:54,33,F,FRA
41,BONFANTE Marco,24:36:05,35,M,ITA
42,Raimbault Juste,24:40:18,35,M,FRA
43,GAILLARD Benoit,24:41:43,40,M,FRA
44,SCHJOLBERG Hallvard,24:42:25,49,M,NOR
45,MACKNER Bernhard,24:43:19,35,M,AUT
46,Holmen Drew,24:46:29,32,M,USA
47,CHESSEX Vincent,24:53:17,29,M,SUI
48,BOUCHEIX Alexandre,24:54:26,33,M,FRA
49,JUREK MICHAL,24:55:57,41,M,POL
50,HAWGOOD Emily,24:58:19,30,F,GBR
51,Kalnins Gvido,25:04:07,31,M,LAT
52,PICKARD Douglas,25:09:38,40,M,RSA
53,DOMINGUEZ LEDO Javier,25:16:46,50,M,ESP
54,LAINE antoine,25:28:45,32,M,FRA
55,Fritz Tobias,25:31:29,35,M,GER
56,MOGAVERO Jeff,25:31:48,31,M,USA
57,STANLEY Sabrina,25:32:10,34,F,USA
58,BOHARD Patrick,25:34:16,60,M,FRA
59,TREMPS Claudia,25:39:37,28,F,ESP
60,JAN Kevin,25:39:40,33,M,FRA
61,Kik Tomasz,25:40:59,42,M,SVK
62,ŠTVERÁK Tomáš,25:41:22,27,M,CZE
63,valmassoi Martina,25:42:02,35,F,ITA
64,Feutrier Fabien,25:43:03,25,M,FRA
65,Polaszek Christophe,25:45:56,47,M,FRA
66,LIN Xiao,25:50:50,39,M,CHN
67,BARTHOLOMEW Lucy,25:55:31,28,F,AUS
68,HAJNAL Robert,26:00:01,35,M,ROU
