Place,Runner,Time,Age,Gender,Country
1,Farvard Rod,8:44:30,29,M,USA
2,Holmen Drew,8:51:09,32,M,USA
3,ENGDAHL Petter,8:55:31,30,M,SWE
4,CLEMONS Makai,8:57:38,28,M,USA
5,KERSH Stephen,9:05:56,33,M,USA
6,SCHIDE Katie,9:10:10,32,F,USA
7,TOLLEFSON Tim,9:19:09,39,M,USA
8,VERMEULEN Kevin,9:35:21,32,M,FRA
9,Seidel Matthew,9:42:04,28,M,USA
10,Raff Ryan,9:42:05,25,M,USA
11,GARDINER Brandon,9:46:49,29,M,CAN
12,BIGMAN Matthew,9:51:53,31,M,USA
13,KERL Bryan,9:57:47,33,M,USA
14,PETERMAN Adam,9:58:42,29,M,USA
15,SULLIVAN EMKAY,10:01:26,30,F,USA
16,Fagundes Anthony,10:02:06,34,M,USA
17,LIND Cody,10:10:27,29,M,USA
18,SPILLMAN Scott,10:12:07,38,M,USA
19,LiPuma Eric,10:24:25,31,M,USA
20,KACIUS Anna,10:24:37,31,F,USA
21,Hammond Mark,10:30:27,39,M,USA
22,Forte Alex,10:35:06,24,M,USA
23,Stewart Kevin,10:35:20,34,M,USA
24,ARNOLD Careth,10:38:42,34,F,USA
25,McKenna Anna,10:43:31,33,F,AUS
26,HANSEN Laura,10:45:32,33,F,USA
27,GAILLARD Benoit,10:46:34,40,M,FRA
28,Clark Erin,10:52:16,30,F,USA
29,WENTA Marta,10:53:14,33,F,POL
30,BREUER Reed,10:59:26,32,M,USA
31,BELZBERG Jade,11:00:02,32,F,USA
32,LIEBER Elan,11:01:15,35,M,USA
33,Young Arden,11:08:04,38,F,CAN
34,JIMENEZ Moises,11:08:50,34,M,VEN
35,POLLMANN Dylan,11:10:18,37,M,CAN
36,BOYER Brice,11:26:31,41,M,FRA
37,Aquilano Shea,11:31:01,23,F,USA
38,BASHAM Amanda,11:32:25,35,F,USA
39,PIETTE Brian,11:33:15,-,M,USA
40,Adams John,11:41:32,38,M,CAN
41,AUGSTEN Alexandra,11:43:12,-,F,CAN
42,BRACY ADDIE,11:45:55,38,F,USA
42,RANSOM Colton,11:45:55,-,M,USA
44,WILLIAMS Nathan,11:49:11,27,M,USA
45,AUSTON Stephanie,11:52:03,33,F,AUS
46,Langevin Justin,11:56:02,32,M,CAN
47,Miyazaki Kimino,12:10:14,36,F,JPN
48,Alagao Herman,12:12:41,53,M,CAN
48,Garneau Michael,12:12:41,37,M,CAN
50,ATKINS BENJAMIN,12:14:34,51,M,USA
51,Scanlan James,12:30:07,55,M,USA
52,MEYER Austin,12:31:08,33,M,USA
53,Handelman Leah,12:31:34,39,F,USA
54,HAAS Robby,12:38:15,35,M,USA
55,READER Jordan,12:42:40,32,M,USA
56,HO Julian,12:43:20,38,M,CAN
57,GALLEGOS Ben,12:45:57,33,M,USA
58,CORDEIRO Nilton Jose Cordeiro,12:46:23,46,M,BRA
59,FARRELL Suzanne,12:47:46,34,F,USA
60,RECTOR James,12:47:53,-,M,USA
61,ULRICH Lindsey,12:49:40,46,F,USA
62,CAPELLI Marco,12:49:51,52,M,ITA
63,HENNIGAR Stephen,12:52:29,-,M,USA
64,danne Nicolas,12:52:33,36,M,FRA
65,Peharda Matt,12:52:45,36,M,USA
66,PETROSKY Alex,12:56:46,39,M,CAN
67,Barr Shawn,12:57:20,40,M,USA
68,AUBOUR Antoine,12:57:27,45,M,FRA
69,BRUCE Kerry,12:59:51,42,F,USA
70,Faught David,13:03:20,50,M,USA
71,Nadeau Patrick,13:07:09,53,M,CAN
72,BERTRAM Tilman,13:07:12,33,M,GER
73,HOLT Jesse,13:09:47,-,M,USA
74,MCNALLY Paula,13:11:31,39,F,USA
75,BORGES Paige,13:13:26,-,F,USA
76,STOFFERAHN Isaiah,13:14:27,31,F,USA
77,STOENNER Dustin,13:16:30,-,M,USA
78,CORMAN Casey,13:18:36,35,M,USA
79,90673ANONYMOUS 1anonymous,13:19:12,-,M,CRC
80,SERVICE Patrick,13:19:28,40,M,USA
81,BYRNES David,13:23:55,43,M,USA
82,MITCHELL Lauren,13:29:21,40,F,USA
83,LUCIANI CERVANTES Joseph,13:35:42,-,M,FRA
84,DEMAR Ryan,13:36:35,46,M,USA
85,DYMENT Theodore,13:39:07,-,M,USA
86,MICHELAU Christopher,13:39:24,32,M,CAN
87,Dunbar Adrienne,13:39:34,36,F,CAN
88,LIU Heather,13:40:28,-,F,USA
89,LEARY Keegan,13:40:31,-,M,USA
90,HUNT Lee,13:44:57,49,M,USA
91,SCHNIER Jessica,13:46:35,-,F,USA
92,PATTERSON Matt,13:49:13,35,M,USA
93,KERNOHAN Brad,13:52:25,-,M,CAN
94,COX Brian,13:52:42,44,M,USA
95,VERDUZCO German,13:52:46,-,M,MEX
96,Solano Obando Jennifer,13:54:56,36,F,CRC
97,LOGAN Todd,13:57:35,42,M,USA
98,BARRY Matthew,14:02:29,39,M,USA
99,SLAUSON Stephen,14:04:13,50,M,USA
100,BLECHSCHMIDT Remy,14:07:36,-,M,FRA
101,THOMAS Preston,14:09:06,49,M,USA
102,TAYLOR Chloe,14:11:04,24,F,USA
103,BOGREN Emil,14:12:56,33,M,SWE
104,SLAWSON Tyler,14:13:59,39,M,USA
105,LESLIE Matt,14:15:58,-,M,USA
106,Chen Da,14:17:01,34,M,USA
107,Barushev Denis,14:17:39,39,M,USA
108,MCKINNEY Cessair,14:17:45,-,F,USA
109,BONDERGAARD Mads,14:18:37,-,M,DEN
110,CORBOLIOU Théo,14:19:36,31,M,FRA
111,DUMOIS Luis,14:21:58,35,M,MEX
112,SWENSON Will,14:22:10,53,M,USA
113,MCCLAIN MATTHEW,14:23:56,43,M,USA
114,Lafontaine Jason,14:24:17,45,M,CAN
115,VAN SICKLE Heather,14:25:53,41,F,USA
116,KELLY Conan,14:25:54,43,M,USA
117,Zhu Tong,14:29:28,54,M,USA
118,CHOPPE Yann,14:30:55,38,M,CAN
119,HENNEL Kevin,14:32:34,40,M,FRA
120,CEVALLOS Juan Sebastian,14:32:37,35,M,CHI
121,LEE RODGERS Alexander,14:35:34,33,M,USA
122,CHILLMAN Alex,14:35:41,41,M,USA
123,SCHWAB Tyler,14:36:43,56,M,USA
124,EVE Ben,14:42:22,37,M,GBR
124,KINGSBURY Trever,14:42:22,28,M,USA
126,LUET Julien,14:42:24,38,M,FRA
127,CRANE Katie,14:43:38,-,F,USA
128,GARLITZ Kirby,14:43:41,33,M,USA
129,PEN Elliott,14:43:50,-,M,CAN
130,KAZIMIERSKI Michal,14:48:40,54,M,POL
131,GRAHAM Travis,14:50:08,36,M,USA
132,KRABEL HERBERT,14:50:52,59,M,GER
133,AABY Kyle,14:52:07,-,M,USA
134,BRYANT Jessica,14:54:01,34,F,USA
135,Zahnow Caroline,14:55:37,31,F,USA
136,Li Terence,14:55:52,42,M,USA
137,HAMRICK KEITH,14:56:49,35,M,USA
138,QIAN Xue,14:59:52,35,F,CHN
139,DEBORBA Rich,15:03:28,49,M,USA
140,MONTOYA Joseph,15:07:37,-,M,USA
141,BOISAUBIN Jesse,15:08:41,45,M,USA
142,Ripatti Jani,15:11:21,44,M,FIN
143,PAYNE Helen,15:14:16,27,F,USA
144,SWEATLAND Jake,15:14:24,-,M,USA
145,RICHMOND Jonathan,15:14:36,-,M,USA
146,WILLUMSEN Kenneth,15:17:06,-,M,USA
147,KEOGH Gregory,15:18:59,35,M,USA
148,BOUTTE Jeff,15:19:05,62,M,USA
149,HARDIN Chris,15:21:16,32,M,USA
150,wollberg Jacob,15:21:57,56,M,SWE
151,EHLERS Marnus,15:24:17,-,M,USA
